Category,Temperature_C,Moisture_percent,Storage_Days,pH,Fat_Percent,Titratable_Acidity,Color_Score,TVBN_Level,Ripeness_Index,Sugar_Content_Percent,Mold_Risk_Index,Temp_Deviation_Neg18,Oil_Rancidity_Index,Hygiene_Score,Risk_Score,Safety_Label
Dairy,17.9,87.6,20,4.50,5.9,0.38,,,,,,,,,75.1,1
Dairy,16.1,86.8,21,4.98,3.7,0.41,,,,,,,,,88.8,1
Dairy,18.7,80.7,19,4.78,5.9,0.34,,,,,,,,,77.1,1
Dairy,20.0,92.9,25,5.20,6.0,0.29,,,,,,,,,84.1,1
Dairy,13.8,82.9,15,4.90,7.0,0.28,,,,,,,,,81.1,1
Dairy,12.9,89.3,12,4.77,5.1,0.43,,,,,,,,,75.5,1
Dairy,18.4,94.1,22,4.53,6.7,0.38,,,,,,,,,87.6,1
Dairy,16.1,91.5,12,4.75,4.1,0.39,,,,,,,,,65.1,1
Dairy,13.1,82.3,15,4.82,6.4,0.38,,,,,,,,,76.8,1
Dairy,14.7,92.4,21,4.23,3.7,0.35,,,,,,,,,89.1,1
Dairy,19.6,92.9,21,4.99,3.3,0.44,,,,,,,,,74.6,1
Dairy,21.1,80.4,12,4.63,5.9,0.37,,,,,,,,,74.6,1
Dairy,21.1,90.9,19,5.14,6.4,0.37,,,,,,,,,75.4,1
Dairy,17.8,94.6,15,4.28,4.7,0.31,,,,,,,,,81.6,1
Dairy,16.3,83.9,17,5.16,5.2,0.37,,,,,,,,,73.4,1
Dairy,13.7,87.2,21,4.77,5.6,0.42,,,,,,,,,90.3,1
Dairy,20.3,88.8,16,4.54,4.5,0.40,,,,,,,,,69.6,1
Dairy,16.9,86.0,12,4.70,4.7,0.32,,,,,,,,,75.7,1
Dairy,17.7,86.5,13,5.05,5.6,0.40,,,,,,,,,81.5,1
Dairy,16.0,93.7,13,4.93,5.3,0.29,,,,,,,,,65.5,1
Dairy,20.2,87.8,15,4.89,3.8,0.28,,,,,,,,,90.2,1
Dairy,20.4,81.5,23,4.23,3.5,0.33,,,,,,,,,69.3,1
Dairy,16.9,85.4,12,4.80,3.7,0.43,,,,,,,,,86.7,1
Dairy,18.4,94.4,19,5.07,5.3,0.36,,,,,,,,,89.6,1
Dairy,12.3,81.1,20,5.03,3.2,0.42,,,,,,,,,79.7,1
Dairy,20.6,91.7,12,5.18,5.1,0.43,,,,,,,,,88.4,1
Dairy,19.3,89.7,23,4.25,3.7,0.30,,,,,,,,,84.3,1
Meat_Poultry,4.2,76.5,3,5.65,,,7.9,,,,,,,,35.3,0
Meat_Poultry,3.0,72.2,4,5.91,,,7.7,,,,,,,,24.3,0
Meat_Poultry,3.5,77.3,3,5.84,,,9.9,,,,,,,,13.4,0
Meat_Poultry,1.8,75.0,3,5.68,,,7.2,,,,,,,,36.5,0
Meat_Poultry,4.3,72.0,4,5.81,,,7.9,,,,,,,,13.3,0
Meat_Poultry,1.9,77.7,4,5.87,,,9.5,,,,,,,,32.4,0
Meat_Poultry,4.2,76.4,4,5.80,,,9.7,,,,,,,,25.4,0
Meat_Poultry,1.5,79.5,5,5.86,,,8.0,,,,,,,,26.1,0
Meat_Poultry,2.3,74.4,2,5.78,,,7.1,,,,,,,,31.9,0
Meat_Poultry,5.0,73.9,3,5.77,,,9.8,,,,,,,,24.4,0
Meat_Poultry,4.5,75.3,5,5.78,,,9.2,,,,,,,,15.0,0
Meat_Poultry,4.5,76.3,1,5.62,,,7.1,,,,,,,,14.0,0
Meat_Poultry,3.7,70.8,3,5.83,,,9.9,,,,,,,,17.7,0
Meat_Poultry,2.2,79.9,4,5.87,,,8.7,,,,,,,,24.4,0
Meat_Poultry,4.3,70.4,2,5.94,,,8.3,,,,,,,,18.2,0
Meat_Poultry,1.5,75.3,3,5.87,,,8.8,,,,,,,,16.2,0
Meat_Poultry,5.0,75.3,5,5.77,,,8.0,,,,,,,,22.9,0
Meat_Poultry,2.3,74.3,2,5.87,,,8.0,,,,,,,,25.3,0
Meat_Poultry,2.8,74.5,1,5.80,,,7.7,,,,,,,,26.4,0
Meat_Poultry,4.3,75.4,3,5.74,,,8.9,,,,,,,,22.3,0
Meat_Poultry,1.8,79.7,5,5.86,,,9.0,,,,,,,,34.9,0
Meat_Poultry,4.8,70.2,4,5.88,,,7.7,,,,,,,,31.6,0
Meat_Poultry,4.3,70.4,2,5.67,,,9.1,,,,,,,,36.4,0
Meat_Poultry,4.5,74.3,4,5.91,,,8.7,,,,,,,,21.6,0
Meat_Poultry,2.6,78.3,4,5.77,,,9.2,,,,,,,,19.3,0
Meat_Poultry,3.6,72.5,2,5.93,,,8.8,,,,,,,,17.7,0
Meat_Poultry,4.8,71.4,3,5.92,,,8.8,,,,,,,,31.1,0
Meat_Poultry,3.8,70.0,4,5.99,,,7.7,,,,,,,,20.7,0
Meat_Poultry,4.9,71.3,4,5.86,,,9.2,,,,,,,,25.6,0
Meat_Poultry,3.1,78.8,1,5.84,,,8.6,,,,,,,,35.0,0
Meat_Poultry,3.4,76.2,2,5.62,,,9.9,,,,,,,,26.0,0
Meat_Poultry,4.1,79.6,3,5.61,,,7.4,,,,,,,,18.8,0
Meat_Poultry,1.5,79.9,5,5.80,,,8.0,,,,,,,,26.9,0
Meat_Poultry,4.1,79.9,5,5.86,,,9.6,,,,,,,,32.9,0
Meat_Poultry,2.3,76.8,3,5.80,,,8.7,,,,,,,,36.1,0
Meat_Poultry,3.7,76.4,4,5.95,,,8.4,,,,,,,,13.1,0
Meat_Poultry,4.5,74.0,5,5.83,,,9.5,,,,,,,,35.1,0
Meat_Poultry,1.0,77.0,2,5.73,,,9.0,,,,,,,,18.5,0
Meat_Poultry,4.2,79.6,4,5.94,,,9.0,,,,,,,,22.6,0
Meat_Poultry,1.7,73.0,2,5.92,,,9.8,,,,,,,,36.2,0
Meat_Poultry,3.1,70.0,4,5.88,,,9.4,,,,,,,,29.1,0
Meat_Poultry,3.1,72.6,2,5.87,,,9.5,,,,,,,,34.0,0
Meat_Poultry,4.3,73.7,4,5.86,,,9.4,,,,,,,,14.2,0
Meat_Poultry,1.7,73.9,2,5.93,,,8.9,,,,,,,,31.0,0
Meat_Poultry,3.8,71.7,3,5.92,,,8.6,,,,,,,,34.3,0
Meat_Poultry,2.0,70.4,4,5.78,,,9.2,,,,,,,,31.3,0
Meat_Poultry,2.7,79.8,4,5.97,,,9.3,,,,,,,,25.9,0
Meat_Poultry,2.6,71.1,4,5.95,,,8.5,,,,,,,,29.1,0
Meat_Poultry,15.8,76.1,9,7.20,,,3.2,,,,,,,,85.2,1
Meat_Poultry,10.4,78.7,17,7.17,,,1.5,,,,,,,,92.6,1
Meat_Poultry,17.1,71.5,10,6.96,,,1.4,,,,,,,,80.7,1
Meat_Poultry,16.0,74.9,7,7.16,,,3.8,,,,,,,,83.8,1
Meat_Poultry,16.1,72.9,11,6.88,,,3.7,,,,,,,,84.1,1
Meat_Poultry,13.5,74.2,9,7.25,,,3.1,,,,,,,,93.0,1
Meat_Poultry,15.1,72.9,9,7.37,,,2.6,,,,,,,,92.6,1
Meat_Poultry,14.5,79.4,11,7.16,,,2.8,,,,,,,,87.5,1
Meat_Poultry,15.6,75.1,11,7.52,,,1.2,,,,,,,,76.0,1
Meat_Poultry,11.7,76.7,11,7.55,,,1.9,,,,,,,,79.0,1
Meat_Poultry,17.2,73.1,12,7.52,,,3.7,,,,,,,,77.5,1
Meat_Poultry,12.1,79.7,9,7.10,,,1.6,,,,,,,,82.4,1
Meat_Poultry,17.9,79.6,15,7.27,,,2.2,,,,,,,,91.5,1
Meat_Poultry,11.3,78.8,14,7.47,,,2.1,,,,,,,,71.4,1
Meat_Poultry,14.8,70.0,7,7.33,,,2.4,,,,,,,,80.2,1
Meat_Poultry,15.4,73.4,7,7.51,,,1.1,,,,,,,,82.8,1
Meat_Poultry,15.8,78.1,12,7.07,,,2.6,,,,,,,,85.8,1
Meat_Poultry,14.9,71.2,15,7.28,,,1.5,,,,,,,,73.6,1
Meat_Poultry,10.8,71.1,11,6.93,,,3.1,,,,,,,,77.5,1
Meat_Poultry,14.4,75.2,15,7.54,,,2.9,,,,,,,,95.0,1
Meat_Poultry,17.7,77.6,9,7.07,,,2.0,,,,,,,,88.8,1
Meat_Poultry,16.0,70.4,9,6.95,,,3.6,,,,,,,,73.9,1
Meat_Poultry,12.4,78.7,12,6.97,,,2.2,,,,,,,,73.6,1
Meat_Poultry,12.7,70.1,12,7.51,,,1.5,,,,,,,,86.0,1
Meat_Poultry,16.5,73.9,12,7.28,,,2.5,,,,,,,,88.3,1
Meat_Poultry,14.9,75.6,11,7.27,,,2.7,,,,,,,,77.0,1
Meat_Poultry,13.6,78.9,14,6.97,,,2.5,,,,,,,,84.9,1
Meat_Poultry,10.7,78.5,15,7.32,,,2.0,,,,,,,,79.7,1
Meat_Poultry,15.0,79.3,14,7.30,,,2.8,,,,,,,,90.9,1
Meat_Poultry,17.5,79.1,15,7.40,,,1.8,,,,,,,,80.0,1
Meat_Poultry,10.7,75.5,15,7.23,,,1.2,,,,,,,,90.3,1
Meat_Poultry,13.3,79.3,8,7.54,,,3.2,,,,,,,,91.9,1
Seafood,-0.1,76.2,1,,,,,10.3,,,,,,,26.1,0
Seafood,-0.1,76.8,3,,,,,15.1,,,,,,,26.0,0
Seafood,0.4,77.6,2,,,,,12.0,,,,,,,23.0,0
Seafood,-1.6,81.3,3,,,,,8.8,,,,,,,24.2,0
Seafood,-0.3,76.2,2,,,,,11.9,,,,,,,30.8,0
Seafood,-1.2,78.2,3,,,,,16.0,,,,,,,18.5,0
Seafood,-1.6,81.9,2,,,,,18.9,,,,,,,17.7,0
Seafood,-1.4,76.1,0,,,,,14.0,,,,,,,14.8,0
Seafood,-0.5,78.4,2,,,,,17.6,,,,,,,17.3,0
Seafood,-1.6,75.4,3,,,,,14.9,,,,,,,13.0,0
Seafood,0.9,84.8,1,,,,,13.1,,,,,,,30.5,0
Seafood,0.6,78.7,2,,,,,14.4,,,,,,,8.8,0
Seafood,-1.9,80.1,3,,,,,14.3,,,,,,,33.0,0
Seafood,-1.1,78.6,0,,,,,12.9,,,,,,,17.3,0
Seafood,0.3,79.4,2,,,,,19.7,,,,,,,17.4,0
Seafood,-0.9,82.8,3,,,,,15.3,,,,,,,28.6,0
Seafood,1.1,82.6,2,,,,,10.6,,,,,,,30.8,0
Seafood,-0.6,75.2,3,,,,,14.2,,,,,,,10.7,0
Seafood,-0.2,82.9,3,,,,,11.4,,,,,,,18.5,0
Seafood,0.3,77.5,3,,,,,10.4,,,,,,,12.3,0
Seafood,-1.4,79.9,2,,,,,17.9,,,,,,,25.9,0
Seafood,-0.7,81.8,2,,,,,18.9,,,,,,,29.1,0
Seafood,0.3,76.1,1,,,,,8.6,,,,,,,28.6,0
Seafood,-0.2,79.2,0,,,,,16.9,,,,,,,30.8,0
Seafood,-1.1,82.3,1,,,,,19.0,,,,,,,32.6,0
Seafood,-1.8,80.9,0,,,,,12.3,,,,,,,30.3,0
Seafood,-1.1,78.2,1,,,,,17.9,,,,,,,22.6,0
Seafood,-0.3,82.2,1,,,,,14.7,,,,,,,24.6,0
Seafood,-0.0,81.9,1,,,,,14.8,,,,,,,16.2,0
Seafood,-0.0,79.2,1,,,,,12.8,,,,,,,19.2,0
Seafood,1.3,77.7,1,,,,,10.5,,,,,,,18.5,0
Seafood,-1.0,76.7,2,,,,,19.8,,,,,,,17.0,0
Seafood,1.1,77.4,3,,,,,17.5,,,,,,,15.8,0
Seafood,0.5,84.3,3,,,,,8.8,,,,,,,9.1,0
Seafood,-0.2,82.1,2,,,,,19.4,,,,,,,18.4,0
Seafood,-1.6,82.9,1,,,,,15.9,,,,,,,8.8,0
Seafood,-0.8,75.1,0,,,,,12.7,,,,,,,11.6,0
Seafood,-0.8,83.6,3,,,,,15.4,,,,,,,17.8,0
Seafood,-1.6,75.2,2,,,,,19.3,,,,,,,13.1,0
Seafood,-1.1,82.9,1,,,,,10.1,,,,,,,24.6,0
Seafood,-1.8,80.5,3,,,,,15.2,,,,,,,19.3,0
Seafood,-1.0,76.5,2,,,,,13.7,,,,,,,27.1,0
Seafood,0.5,80.3,3,,,,,11.8,,,,,,,21.9,0
Seafood,-0.1,83.5,1,,,,,16.2,,,,,,,18.0,0
Seafood,0.3,79.2,1,,,,,12.5,,,,,,,22.3,0
Seafood,1.0,84.4,0,,,,,17.5,,,,,,,10.4,0
Seafood,0.1,81.6,2,,,,,14.0,,,,,,,32.0,0
Seafood,0.7,78.8,0,,,,,9.7,,,,,,,30.0,0
Seafood,12.8,78.1,6,,,,,48.8,,,,,,,78.7,1
Seafood,12.7,79.7,7,,,,,50.8,,,,,,,77.8,1
Seafood,12.1,79.3,9,,,,,45.6,,,,,,,86.9,1
Seafood,13.7,77.3,8,,,,,58.4,,,,,,,88.5,1
Seafood,8.4,81.3,8,,,,,54.4,,,,,,,76.9,1
Seafood,9.6,80.3,7,,,,,49.2,,,,,,,87.7,1
Seafood,11.6,82.5,6,,,,,48.1,,,,,,,86.7,1
Seafood,11.9,76.0,10,,,,,61.0,,,,,,,93.5,1
Seafood,16.8,84.7,9,,,,,51.5,,,,,,,81.3,1
Seafood,16.4,81.5,7,,,,,40.4,,,,,,,90.1,1
Seafood,16.5,84.1,7,,,,,48.9,,,,,,,90.4,1
Seafood,13.9,84.7,10,,,,,35.3,,,,,,,91.8,1
Seafood,9.0,82.9,7,,,,,44.1,,,,,,,77.7,1
Seafood,13.4,82.9,7,,,,,38.9,,,,,,,94.3,1
Seafood,11.1,78.4,8,,,,,42.3,,,,,,,98.5,1
Seafood,13.3,80.1,9,,,,,41.4,,,,,,,90.6,1
Seafood,11.7,84.8,9,,,,,42.6,,,,,,,97.0,1
Seafood,8.5,80.9,5,,,,,39.4,,,,,,,94.7,1
Seafood,15.2,77.4,6,,,,,36.8,,,,,,,83.6,1
Seafood,16.7,84.6,9,,,,,38.8,,,,,,,78.1,1
Seafood,11.9,75.3,7,,,,,38.5,,,,,,,77.0,1
Seafood,8.2,81.6,8,,,,,48.5,,,,,,,91.7,1
Seafood,9.5,77.3,8,,,,,59.3,,,,,,,97.4,1
Seafood,17.5,79.9,9,,,,,41.3,,,,,,,76.7,1
Seafood,16.0,79.6,7,,,,,63.4,,,,,,,91.2,1
Seafood,8.6,83.1,9,,,,,45.9,,,,,,,92.8,1
Seafood,11.2,79.5,8,,,,,41.4,,,,,,,97.4,1
Seafood,17.7,84.2,9,,,,,49.2,,,,,,,93.4,1
Seafood,16.8,83.7,10,,,,,62.3,,,,,,,91.0,1
Seafood,10.9,77.5,5,,,,,39.1,,,,,,,97.2,1
Seafood,12.7,79.9,6,,,,,37.0,,,,,,,82.1,1
Seafood,16.2,80.5,8,,,,,44.4,,,,,,,75.1,1
Fresh_Produce,11.6,91.5,1,,,,,,4.6,,,,,,38.4,0
Fresh_Produce,13.6,89.6,2,,,,,,4.8,,,,,,33.5,0
Fresh_Produce,10.1,88.1,5,,,,,,5.1,,,,,,39.2,0
Fresh_Produce,8.6,87.2,3,,,,,,6.4,,,,,,23.4,0
Fresh_Produce,13.9,88.4,2,,,,,,6.9,,,,,,38.7,0
Fresh_Produce,10.0,86.2,2,,,,,,5.8,,,,,,23.0,0
Fresh_Produce,8.5,91.9,3,,,,,,4.9,,,,,,16.7,0
Fresh_Produce,10.5,88.1,4,,,,,,5.5,,,,,,17.1,0
Fresh_Produce,9.4,87.9,4,,,,,,5.1,,,,,,31.8,0
Fresh_Produce,13.1,85.5,3,,,,,,4.8,,,,,,33.2,0
Fresh_Produce,12.2,91.4,2,,,,,,6.9,,,,,,28.2,0
Fresh_Produce,13.3,92.8,2,,,,,,5.6,,,,,,35.0,0
Fresh_Produce,8.3,85.8,3,,,,,,6.8,,,,,,31.0,0
Fresh_Produce,12.3,94.9,3,,,,,,5.2,,,,,,24.3,0
Fresh_Produce,9.6,85.4,4,,,,,,5.8,,,,,,29.9,0
Fresh_Produce,12.6,89.8,2,,,,,,4.8,,,,,,12.3,0
Fresh_Produce,11.3,86.5,3,,,,,,6.1,,,,,,29.7,0
Fresh_Produce,11.2,89.6,3,,,,,,4.1,,,,,,22.8,0
Fresh_Produce,14.0,90.8,5,,,,,,4.4,,,,,,23.6,0
Fresh_Produce,11.2,86.1,1,,,,,,5.1,,,,,,27.1,0
Fresh_Produce,13.5,87.1,5,,,,,,4.4,,,,,,11.0,0
Fresh_Produce,13.8,91.8,2,,,,,,5.7,,,,,,33.3,0
Fresh_Produce,13.8,85.8,3,,,,,,4.7,,,,,,35.3,0
Fresh_Produce,8.9,91.1,4,,,,,,5.7,,,,,,31.8,0
Fresh_Produce,13.6,88.5,3,,,,,,4.1,,,,,,27.5,0
Fresh_Produce,12.9,88.3,6,,,,,,6.6,,,,,,11.6,0
Fresh_Produce,13.5,91.5,4,,,,,,6.6,,,,,,40.0,0
Fresh_Produce,8.1,90.1,6,,,,,,6.3,,,,,,36.6,0
Fresh_Produce,12.2,88.6,4,,,,,,4.6,,,,,,13.0,0
Fresh_Produce,12.0,86.8,6,,,,,,4.6,,,,,,14.0,0
Fresh_Produce,9.4,92.9,1,,,,,,5.3,,,,,,31.8,0
Fresh_Produce,12.6,89.2,6,,,,,,6.2,,,,,,38.0,0
Fresh_Produce,14.0,88.8,2,,,,,,4.2,,,,,,16.1,0
Fresh_Produce,10.7,85.8,5,,,,,,5.5,,,,,,19.1,0
Fresh_Produce,12.1,88.1,2,,,,,,5.8,,,,,,27.7,0
Fresh_Produce,13.8,85.0,2,,,,,,5.6,,,,,,32.8,0
Fresh_Produce,12.1,92.5,5,,,,,,4.8,,,,,,27.8,0
Fresh_Produce,10.0,87.8,4,,,,,,6.5,,,,,,10.7,0
Fresh_Produce,12.7,88.0,5,,,,,,4.9,,,,,,12.8,0
Fresh_Produce,8.2,93.5,5,,,,,,5.1,,,,,,36.4,0
Fresh_Produce,11.6,88.4,3,,,,,,6.6,,,,,,10.9,0
Fresh_Produce,11.8,91.4,4,,,,,,5.0,,,,,,18.6,0
Fresh_Produce,12.7,93.6,5,,,,,,5.6,,,,,,12.3,0
Fresh_Produce,8.1,94.9,2,,,,,,4.5,,,,,,35.1,0
Fresh_Produce,9.4,88.3,6,,,,,,6.7,,,,,,25.1,0
Fresh_Produce,11.0,94.3,3,,,,,,5.9,,,,,,13.3,0
Fresh_Produce,11.6,94.9,2,,,,,,4.3,,,,,,35.3,0
Fresh_Produce,8.4,85.9,5,,,,,,5.5,,,,,,36.5,0
Fresh_Produce,34.9,94.4,14,,,,,,9.1,,,,,,71.3,1
Fresh_Produce,30.3,85.1,17,,,,,,9.1,,,,,,88.2,1
Fresh_Produce,30.5,92.5,15,,,,,,9.9,,,,,,88.0,1
Fresh_Produce,32.8,85.7,13,,,,,,9.6,,,,,,62.9,1
Fresh_Produce,33.5,93.7,10,,,,,,9.6,,,,,,90.8,1
Fresh_Produce,34.7,94.7,13,,,,,,9.4,,,,,,87.2,1
Fresh_Produce,28.9,90.3,15,,,,,,9.4,,,,,,82.4,1
Fresh_Produce,28.2,91.0,14,,,,,,9.9,,,,,,81.0,1
Fresh_Produce,29.8,88.7,16,,,,,,9.1,,,,,,81.3,1
Fresh_Produce,28.5,88.7,14,,,,,,9.2,,,,,,81.5,1
Fresh_Produce,25.5,91.8,12,,,,,,9.8,,,,,,74.5,1
Fresh_Produce,34.6,92.7,17,,,,,,9.2,,,,,,90.8,1
Fresh_Produce,30.9,94.6,14,,,,,,9.9,,,,,,81.9,1
Fresh_Produce,28.2,87.3,13,,,,,,9.3,,,,,,76.2,1
Fresh_Produce,26.4,87.8,12,,,,,,9.0,,,,,,60.3,1
Fresh_Produce,28.9,91.6,15,,,,,,9.4,,,,,,92.8,1
Fresh_Produce,33.5,90.5,13,,,,,,9.1,,,,,,86.9,1
Fresh_Produce,30.7,94.9,18,,,,,,9.5,,,,,,74.2,1
Fresh_Produce,25.9,92.9,13,,,,,,9.4,,,,,,80.7,1
Fresh_Produce,32.5,91.4,13,,,,,,9.5,,,,,,81.0,1
Fresh_Produce,29.6,89.1,13,,,,,,9.5,,,,,,82.5,1
Fresh_Produce,33.7,85.6,14,,,,,,9.9,,,,,,62.8,1
Fresh_Produce,27.0,94.9,11,,,,,,9.6,,,,,,68.8,1
Fresh_Produce,25.8,93.2,15,,,,,,9.3,,,,,,70.7,1
Fresh_Produce,27.3,86.0,17,,,,,,9.1,,,,,,67.0,1
Fresh_Produce,27.7,90.1,15,,,,,,10.0,,,,,,61.9,1
Fresh_Produce,29.1,88.9,11,,,,,,9.2,,,,,,80.2,1
Fresh_Produce,30.8,85.6,18,,,,,,9.5,,,,,,78.3,1
Fresh_Produce,25.4,93.8,12,,,,,,9.1,,,,,,80.6,1
Fresh_Produce,34.8,90.3,11,,,,,,9.2,,,,,,83.9,1
Fresh_Produce,33.9,89.4,18,,,,,,9.8,,,,,,84.6,1
Fresh_Produce,32.5,90.6,19,,,,,,9.5,,,,,,70.9,1
Beverage,10.1,93.5,6,3.29,,,,,,15.2,,,,,5.1,0
Beverage,10.4,93.7,11,3.42,,,,,,18.8,,,,,25.7,0
Beverage,5.7,90.3,12,3.50,,,,,,5.7,,,,,14.6,0
Beverage,11.1,92.2,11,3.22,,,,,,11.4,,,,,13.5,0
Beverage,6.3,95.2,15,3.38,,,,,,14.7,,,,,16.5,0
Beverage,4.7,93.6,22,3.08,,,,,,6.0,,,,,27.9,0
Beverage,5.4,93.7,2,3.15,,,,,,18.2,,,,,23.3,0
Beverage,5.6,96.1,9,3.16,,,,,,9.7,,,,,5.9,0
Beverage,4.4,91.0,12,3.78,,,,,,17.8,,,,,9.7,0
Beverage,4.5,96.1,16,3.28,,,,,,12.9,,,,,27.7,0
Beverage,9.0,97.1,20,3.11,,,,,,17.2,,,,,11.3,0
Beverage,10.9,93.4,17,3.78,,,,,,16.6,,,,,11.6,0
Beverage,8.9,90.4,7,3.61,,,,,,5.3,,,,,6.9,0
Beverage,6.2,96.3,7,3.40,,,,,,17.8,,,,,23.0,0
Beverage,10.3,95.4,20,3.16,,,,,,17.9,,,,,19.2,0
Beverage,6.3,95.8,14,3.71,,,,,,12.8,,,,,27.8,0
Beverage,11.8,97.6,4,3.21,,,,,,7.7,,,,,22.7,0
Beverage,7.1,91.1,7,3.64,,,,,,10.3,,,,,20.3,0
Beverage,7.1,92.2,17,3.41,,,,,,8.7,,,,,11.4,0
Beverage,11.3,96.4,19,3.71,,,,,,6.3,,,,,20.0,0
Beverage,10.1,90.5,17,3.62,,,,,,17.7,,,,,15.4,0
Beverage,11.0,93.5,18,3.58,,,,,,9.9,,,,,14.8,0
Beverage,9.7,98.0,9,3.72,,,,,,16.8,,,,,7.3,0
Beverage,7.9,97.2,13,3.59,,,,,,16.2,,,,,5.4,0
Beverage,8.5,95.4,14,3.69,,,,,,11.1,,,,,22.4,0
Beverage,11.4,97.8,5,3.54,,,,,,10.6,,,,,18.4,0
Beverage,8.5,96.8,20,3.21,,,,,,8.5,,,,,7.6,0
Beverage,8.4,90.6,10,3.22,,,,,,16.6,,,,,25.5,0
Beverage,4.3,96.8,14,3.62,,,,,,19.0,,,,,23.2,0
